[2026-08-08T15:10:37.535Z] {"timestamp":1786201836000,"kind":"navigate","url":"http://localhost:3001/login","viewport":{"width":846,"height":382},"payload":{"reason":"pushState"}}
[2026-08-08T15:11:47.525Z] {"timestamp":1786201907199,"kind":"scroll","url":"http://localhost:3001/login","viewport":{"width":846,"height":382},"payload":{"scrollX":0,"scrollY":1,"documentHeight":851,"viewportHeight":382}}
[2026-08-08T15:11:51.575Z] {"timestamp":1786201907693,"kind":"focusin","url":"http://localhost:3001/login","viewport":{"width":846,"height":382},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"text","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\pages\\Login.tsx:81","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\pages\\Login.tsx:81\"]"}}}
[2026-08-08T15:11:51.575Z] {"timestamp":1786201907770,"kind":"click","url":"http://localhost:3001/login","viewport":{"width":846,"height":382},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"text","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\pages\\Login.tsx:81","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\pages\\Login.tsx:81\"]"},"x":362,"y":257}}
[2026-08-08T15:11:51.575Z] {"timestamp":1786201909436,"kind":"change","url":"http://localhost:3001/login","viewport":{"width":846,"height":382},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"text","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\pages\\Login.tsx:81","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\pages\\Login.tsx:81\"]"},"value":"1000000000"}}
[2026-08-08T15:11:51.575Z] {"timestamp":1786201909437,"kind":"focusout","url":"http://localhost:3001/login","viewport":{"width":846,"height":382},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"text","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\pages\\Login.tsx:81","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\pages\\Login.tsx:81\"]"},"value":"1000000000"}}
[2026-08-08T15:11:55.520Z] {"timestamp":1786201914419,"kind":"focusin","url":"http://localhost:3001/login","viewport":{"width":846,"height":382},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"text","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\pages\\Login.tsx:81","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\pages\\Login.tsx:81\"]"}}}
[2026-08-08T15:11:55.520Z] {"timestamp":1786201915090,"kind":"scroll","url":"http://localhost:3001/login","viewport":{"width":846,"height":382},"payload":{"scrollX":0,"scrollY":101,"documentHeight":851,"viewportHeight":382}}
[2026-08-08T15:11:57.545Z] {"timestamp":1786201916090,"kind":"focusout","url":"http://localhost:3001/login","viewport":{"width":846,"height":382},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"text","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\pages\\Login.tsx:81","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\pages\\Login.tsx:81\"]"},"value":"1000000000"}}
[2026-08-08T15:11:57.545Z] {"timestamp":1786201916091,"kind":"focusin","url":"http://localhost:3001/login","viewport":{"width":846,"height":382},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"password","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\pages\\Login.tsx:100","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\pages\\Login.tsx:100\"]"}}}
[2026-08-08T15:11:57.545Z] {"timestamp":1786201916147,"kind":"click","url":"http://localhost:3001/login","viewport":{"width":846,"height":382},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"password","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\pages\\Login.tsx:100","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\pages\\Login.tsx:100\"]"},"x":410,"y":150}}
[2026-08-08T15:11:57.545Z] {"timestamp":1786201917380,"kind":"change","url":"http://localhost:3001/login","viewport":{"width":846,"height":382},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"password","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\pages\\Login.tsx:100","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\pages\\Login.tsx:100\"]"},"value":{"masked":true,"length":6}}}
[2026-08-08T15:11:57.545Z] {"timestamp":1786201917381,"kind":"focusout","url":"http://localhost:3001/login","viewport":{"width":846,"height":382},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"password","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\pages\\Login.tsx:100","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\pages\\Login.tsx:100\"]"},"value":{"masked":true,"length":6}}}
[2026-08-08T15:11:57.545Z] {"timestamp":1786201917381,"kind":"focusin","url":"http://localhost:3001/login","viewport":{"width":846,"height":382},"payload":{"target":{"tag":"button","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\pages\\Login.tsx:124","href":null,"text":"Se connecter","selectorHint":"[data-loc=\"client\\src\\pages\\Login.tsx:124\"]"}}}
[2026-08-08T15:11:57.545Z] {"timestamp":1786201917443,"kind":"click","url":"http://localhost:3001/login","viewport":{"width":846,"height":382},"payload":{"target":{"tag":"button","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\pages\\Login.tsx:124","href":null,"text":"Se connecter","selectorHint":"[data-loc=\"client\\src\\pages\\Login.tsx:124\"]"},"x":437,"y":290}}
[2026-08-08T15:11:57.545Z] {"timestamp":1786201917445,"kind":"submit","url":"http://localhost:3001/login","viewport":{"width":846,"height":382},"payload":{"target":{"tag":"form","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\pages\\Login.tsx:72","href":null,"text":"Identifiant Code personnel Vous avez oublié vos identifiants ? Se connecter","selectorHint":"[data-loc=\"client\\src\\pages\\Login.tsx:72\"]"}}}
[2026-08-08T15:11:57.545Z] {"timestamp":1786201917449,"kind":"focusout","url":"http://localhost:3001/login","viewport":{"width":846,"height":382},"payload":{"target":{"tag":"button","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\pages\\Login.tsx:124","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\pages\\Login.tsx:124\"]"},"value":null}}
[2026-08-08T15:11:59.524Z] {"timestamp":1786201917960,"kind":"navigate","url":"http://localhost:3001/","viewport":{"width":846,"height":382},"payload":{"reason":"pushState"}}
[2026-08-08T15:11:59.524Z] {"timestamp":1786201918814,"kind":"scroll","url":"http://localhost:3001/","viewport":{"width":846,"height":382},"payload":{"scrollX":0,"scrollY":299,"documentHeight":1000,"viewportHeight":382}}
[2026-08-08T15:12:03.523Z] {"timestamp":1786201921906,"kind":"scroll","url":"http://localhost:3001/","viewport":{"width":846,"height":382},"payload":{"scrollX":0,"scrollY":1,"documentHeight":1000,"viewportHeight":382}}
[2026-08-08T15:12:03.523Z] {"timestamp":1786201922414,"kind":"scroll","url":"http://localhost:3001/","viewport":{"width":846,"height":382},"payload":{"scrollX":0,"scrollY":166,"documentHeight":1000,"viewportHeight":382}}
[2026-08-08T15:12:03.523Z] {"timestamp":1786201923178,"kind":"scroll","url":"http://localhost:3001/","viewport":{"width":846,"height":382},"payload":{"scrollX":0,"scrollY":299,"documentHeight":1000,"viewportHeight":382}}
[2026-08-08T15:12:05.526Z] {"timestamp":1786201925064,"kind":"scroll","url":"http://localhost:3001/","viewport":{"width":846,"height":382},"payload":{"scrollX":0,"scrollY":1,"documentHeight":1000,"viewportHeight":382}}
[2026-08-08T15:12:07.523Z] {"timestamp":1786201925564,"kind":"scroll","url":"http://localhost:3001/","viewport":{"width":846,"height":382},"payload":{"scrollX":0,"scrollY":618,"documentHeight":1000,"viewportHeight":382}}
[2026-08-08T15:12:07.523Z] {"timestamp":1786201926634,"kind":"scroll","url":"http://localhost:3001/","viewport":{"width":846,"height":382},"payload":{"scrollX":0,"scrollY":617,"documentHeight":1000,"viewportHeight":382}}
[2026-08-08T15:12:07.523Z] {"timestamp":1786201927314,"kind":"scroll","url":"http://localhost:3001/","viewport":{"width":846,"height":382},"payload":{"scrollX":0,"scrollY":419,"documentHeight":1000,"viewportHeight":382}}
[2026-08-08T15:12:09.392Z] {"timestamp":1786201929242,"kind":"focusin","url":"http://localhost:3001/","viewport":{"width":846,"height":382},"payload":{"target":{"tag":"a","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\BottomNav.tsx:26","href":"/accounts","text":"Comptes","selectorHint":"[data-loc=\"client\\src\\components\\BottomNav.tsx:26\"]"}}}
[2026-08-08T15:12:09.392Z] {"timestamp":1786201929370,"kind":"click","url":"http://localhost:3001/","viewport":{"width":846,"height":382},"payload":{"target":{"tag":"a","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\BottomNav.tsx:26","href":"/accounts","text":"Comptes","selectorHint":"[data-loc=\"client\\src\\components\\BottomNav.tsx:26\"]"},"x":267,"y":355}}
[2026-08-08T15:12:11.630Z] {"timestamp":1786201930786,"kind":"scroll","url":"http://localhost:3001/accounts","viewport":{"width":846,"height":382},"payload":{"scrollX":0,"scrollY":1,"documentHeight":1102,"viewportHeight":382}}
[2026-08-08T15:12:12.413Z] {"timestamp":1786201932331,"kind":"focusin","url":"http://localhost:3001/accounts","viewport":{"width":846,"height":382},"payload":{"target":{"tag":"a","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\BottomNav.tsx:26","href":"/payments","text":"Paiements","selectorHint":"[data-loc=\"client\\src\\components\\BottomNav.tsx:26\"]"}}}
[2026-08-08T15:12:12.413Z] {"timestamp":1786201932410,"kind":"click","url":"http://localhost:3001/accounts","viewport":{"width":846,"height":382},"payload":{"target":{"tag":"svg","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\BottomNav.tsx:35","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\components\\BottomNav.tsx:35\"]"},"x":397,"y":335}}
[2026-08-08T15:12:14.608Z] {"timestamp":1786201934187,"kind":"scroll","url":"http://localhost:3001/payments","viewport":{"width":846,"height":382},"payload":{"scrollX":0,"scrollY":1,"documentHeight":936,"viewportHeight":382}}
[2026-08-08T15:12:16.607Z] {"timestamp":1786201934841,"kind":"scroll","url":"http://localhost:3001/payments","viewport":{"width":846,"height":382},"payload":{"scrollX":0,"scrollY":401,"documentHeight":936,"viewportHeight":382}}
[2026-08-08T15:12:16.607Z] {"timestamp":1786201935867,"kind":"scroll","url":"http://localhost:3001/payments","viewport":{"width":846,"height":382},"payload":{"scrollX":0,"scrollY":553,"documentHeight":936,"viewportHeight":382}}
[2026-08-08T15:12:18.608Z] {"timestamp":1786201936763,"kind":"focusin","url":"http://localhost:3001/payments","viewport":{"width":846,"height":382},"payload":{"target":{"tag":"button","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\pages\\Payments.tsx:107","href":null,"text":"Virement Vers un compte courant","selectorHint":"[data-loc=\"client\\src\\pages\\Payments.tsx:107\"]"}}}
[2026-08-08T15:12:18.609Z] {"timestamp":1786201936819,"kind":"click","url":"http://localhost:3001/payments","viewport":{"width":846,"height":382},"payload":{"target":{"tag":"p","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\pages\\Payments.tsx:119","href":null,"text":"Vers un compte courant","selectorHint":"[data-loc=\"client\\src\\pages\\Payments.tsx:119\"]"},"x":274,"y":208}}
[2026-08-08T15:12:18.609Z] {"timestamp":1786201938397,"kind":"scroll","url":"http://localhost:3001/payments","viewport":{"width":846,"height":382},"payload":{"scrollX":0,"scrollY":353,"documentHeight":936,"viewportHeight":382}}
[2026-08-08T15:12:20.607Z] {"timestamp":1786201940603,"kind":"scroll","url":"http://localhost:3001/payments","viewport":{"width":846,"height":382},"payload":{"scrollX":0,"scrollY":153,"documentHeight":936,"viewportHeight":382}}
[2026-08-08T15:12:22.610Z] {"timestamp":1786201941113,"kind":"scroll","url":"http://localhost:3001/payments","viewport":{"width":846,"height":382},"payload":{"scrollX":0,"scrollY":444,"documentHeight":936,"viewportHeight":382}}
[2026-08-08T15:12:22.610Z] {"timestamp":1786201941613,"kind":"scroll","url":"http://localhost:3001/payments","viewport":{"width":846,"height":382},"payload":{"scrollX":0,"scrollY":489,"documentHeight":936,"viewportHeight":382}}
[2026-08-08T15:12:24.608Z] {"timestamp":1786201943083,"kind":"scroll","url":"http://localhost:3001/payments","viewport":{"width":846,"height":382},"payload":{"scrollX":0,"scrollY":155,"documentHeight":936,"viewportHeight":382}}
[2026-08-08T15:12:24.608Z] {"timestamp":1786201943596,"kind":"scroll","url":"http://localhost:3001/payments","viewport":{"width":846,"height":382},"payload":{"scrollX":0,"scrollY":550,"documentHeight":936,"viewportHeight":382}}
[2026-08-08T15:12:30.610Z] {"timestamp":1786201949398,"kind":"scroll","url":"http://localhost:3001/payments","viewport":{"width":846,"height":382},"payload":{"scrollX":0,"scrollY":553,"documentHeight":936,"viewportHeight":382}}
[2026-08-08T15:12:30.610Z] {"timestamp":1786201949913,"kind":"scroll","url":"http://localhost:3001/payments","viewport":{"width":846,"height":382},"payload":{"scrollX":0,"scrollY":3,"documentHeight":936,"viewportHeight":382}}
[2026-08-08T15:12:32.025Z] {"timestamp":1786201951972,"kind":"focusout","url":"http://localhost:3001/payments","viewport":{"width":846,"height":382},"payload":{"target":{"tag":"button","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\pages\\Payments.tsx:107","href":null,"text":"Virement Vers un compte courant","selectorHint":"[data-loc=\"client\\src\\pages\\Payments.tsx:107\"]"},"value":null}}
[2026-08-08T15:12:32.025Z] {"timestamp":1786201951974,"kind":"focusin","url":"http://localhost:3001/payments","viewport":{"width":846,"height":382},"payload":{"target":{"tag":"a","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\BottomNav.tsx:26","href":"/investments","text":"Investissements","selectorHint":"[data-loc=\"client\\src\\components\\BottomNav.tsx:26\"]"}}}
[2026-08-08T15:12:32.025Z] {"timestamp":1786201952020,"kind":"click","url":"http://localhost:3001/payments","viewport":{"width":846,"height":382},"payload":{"target":{"tag":"a","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\BottomNav.tsx:26","href":"/investments","text":"Investissements","selectorHint":"[data-loc=\"client\\src\\components\\BottomNav.tsx:26\"]"},"x":528,"y":340}}
[2026-08-08T15:12:33.245Z] {"timestamp":1786201953171,"kind":"focusin","url":"http://localhost:3001/investments","viewport":{"width":846,"height":382},"payload":{"target":{"tag":"a","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\BottomNav.tsx:26","href":"/settings","text":"Paramètres","selectorHint":"[data-loc=\"client\\src\\components\\BottomNav.tsx:26\"]"}}}
[2026-08-08T15:12:33.245Z] {"timestamp":1786201953235,"kind":"click","url":"http://localhost:3001/investments","viewport":{"width":846,"height":382},"payload":{"target":{"tag":"a","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\BottomNav.tsx:26","href":"/settings","text":"Paramètres","selectorHint":"[data-loc=\"client\\src\\components\\BottomNav.tsx:26\"]"},"x":597,"y":336}}
[2026-08-08T15:12:35.442Z] {"timestamp":1786201955391,"kind":"scroll","url":"http://localhost:3001/settings","viewport":{"width":846,"height":382},"payload":{"scrollX":0,"scrollY":1,"documentHeight":1410,"viewportHeight":382}}
[2026-08-08T15:12:37.440Z] {"timestamp":1786201957267,"kind":"scroll","url":"http://localhost:3001/settings","viewport":{"width":846,"height":382},"payload":{"scrollX":0,"scrollY":101,"documentHeight":1410,"viewportHeight":382}}
[2026-08-08T15:12:39.441Z] {"timestamp":1786201957780,"kind":"scroll","url":"http://localhost:3001/settings","viewport":{"width":846,"height":382},"payload":{"scrollX":0,"scrollY":213,"documentHeight":1410,"viewportHeight":382}}
[2026-08-08T15:12:39.441Z] {"timestamp":1786201959097,"kind":"scroll","url":"http://localhost:3001/settings","viewport":{"width":846,"height":382},"payload":{"scrollX":0,"scrollY":599,"documentHeight":1410,"viewportHeight":382}}
[2026-08-08T15:12:41.454Z] {"timestamp":1786201959740,"kind":"scroll","url":"http://localhost:3001/settings","viewport":{"width":846,"height":382},"payload":{"scrollX":0,"scrollY":1,"documentHeight":1410,"viewportHeight":382}}
[2026-08-08T15:12:41.454Z] {"timestamp":1786201960423,"kind":"scroll","url":"http://localhost:3001/settings","viewport":{"width":846,"height":382},"payload":{"scrollX":0,"scrollY":699,"documentHeight":1410,"viewportHeight":382}}
[2026-08-08T15:12:43.453Z] {"timestamp":1786201961454,"kind":"scroll","url":"http://localhost:3001/settings","viewport":{"width":846,"height":382},"payload":{"scrollX":0,"scrollY":599,"documentHeight":1410,"viewportHeight":382}}
[2026-08-08T15:12:43.937Z] {"timestamp":1786201963803,"kind":"focusin","url":"http://localhost:3001/settings","viewport":{"width":846,"height":382},"payload":{"target":{"tag":"a","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\BottomNav.tsx:26","href":"/","text":"Accueil","selectorHint":"[data-loc=\"client\\src\\components\\BottomNav.tsx:26\"]"}}}
[2026-08-08T15:12:43.937Z] {"timestamp":1786201963891,"kind":"click","url":"http://localhost:3001/settings","viewport":{"width":846,"height":382},"payload":{"target":{"tag":"svg","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\BottomNav.tsx:35","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\components\\BottomNav.tsx:35\"]"},"x":211,"y":336}}
[2026-08-08T15:12:46.236Z] {"timestamp":1786201965196,"kind":"scroll","url":"http://localhost:3001/","viewport":{"width":846,"height":382},"payload":{"scrollX":0,"scrollY":1,"documentHeight":1000,"viewportHeight":382}}
[2026-08-08T15:12:46.236Z] {"timestamp":1786201965696,"kind":"scroll","url":"http://localhost:3001/","viewport":{"width":846,"height":382},"payload":{"scrollX":0,"scrollY":406,"documentHeight":1000,"viewportHeight":382}}
[2026-08-08T15:12:47.046Z] {"timestamp":1786201966948,"kind":"focusin","url":"http://localhost:3001/","viewport":{"width":846,"height":382},"payload":{"target":{"tag":"a","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\BottomNav.tsx:26","href":"/accounts","text":"Comptes","selectorHint":"[data-loc=\"client\\src\\components\\BottomNav.tsx:26\"]"}}}
